fromNode	toNode	weight	direction	fromAltName	toAltName
MMT00000793	MMT00047964	0.0524453462943306	undirected	C330027C09Rik	Ect2
MMT00000793	MMT00052695	0.0500400847289775	undirected	C330027C09Rik	Proz
MMT00000793	MMT00052927	0.0955965684029574	undirected	C330027C09Rik	Shcbp1
MMT00000793	MMT00055541	0.0517898961535179	undirected	C330027C09Rik	Rrm1
MMT00000793	MMT00058315	0.0708706249744953	undirected	C330027C09Rik	Mphosph1
MMT00000793	MMT00058618	0.0519172282387868	undirected	C330027C09Rik	Ccnb2
MMT00000793	MMT00061334	0.0589766852285604	undirected	C330027C09Rik	Anln
MMT00000793	MMT00063382	0.0529475180337618	undirected	C330027C09Rik	Mcm2
MMT00000793	MMT00064300	0.0535901017637763	undirected	C330027C09Rik	Cenpe
MMT00000793	MMT00065854	0.0533454025480073	undirected	C330027C09Rik	BC025462
MMT00000793	MMT00066001	0.0724669180020513	undirected	C330027C09Rik	Cdca1
MMT00000793	MMT00066813	0.0743180474282344	undirected	C330027C09Rik	Smc2l1
MMT00000793	MMT00068808	0.0528524076699612	undirected	C330027C09Rik	Mcm6
MMT00000793	MMT00069686	0.0573080659974901	undirected	C330027C09Rik	Mlr1
MMT00000793	MMT00072152	0.0601882937792898	undirected	C330027C09Rik	Pbk
MMT00000793	MMT00079309	0.0512058612923653	undirected	C330027C09Rik	Exo1
MMT00000793	MMT00079343	0.0599604378473639	undirected	C330027C09Rik	2310031L18Rik
MMT00000840	MMT00020602	0.0591831606191238	undirected	Col5a3	Spon2
MMT00000840	MMT00056866	0.0558615867633087	undirected	Col5a3	Anxa5
MMT00000840	MMT00067823	0.0544402169188999	undirected	Col5a3	Anxa2
MMT00000840	MMT00078732	0.0501706224205326	undirected	Col5a3	9430028I06Rik
MMT00000840	MMT00078851	0.0612715988921012	undirected	Col5a3	F7
MMT00000887	MMT00006713	0.0687559916657581	undirected	Gne	Ppic
MMT00000887	MMT00010873	0.064204352897881	undirected	Gne	Atp8b2
MMT00000887	MMT00028683	0.0607620358662113	undirected	Gne	Msx2
MMT00000887	MMT00028861	0.0531440258206652	undirected	Gne	Mest
MMT00000887	MMT00031263	0.0533496956671312	undirected	Gne	Tuba1
MMT00000887	MMT00055005	0.060170637980458	undirected	Gne	Slc22a7
MMT00000887	MMT00056866	0.050214902133286	undirected	Gne	Anxa5
MMT00000887	MMT00067525	0.0502848953039987	undirected	Gne	Ddah2
MMT00000887	MMT00067823	0.0570674363239661	undirected	Gne	Anxa2
MMT00000887	MMT00074488	0.0548316136309887	undirected	Gne	Epb4.1l2
MMT00000887	MMT00078851	0.0547676929701462	undirected	Gne	F7
MMT00000887	MMT00081689	0.0624491823049107	undirected	Gne	NA
MMT00001077	MMT00010542	0.0604653869596099	undirected	Ngfrap1	Col16a1
MMT00001077	MMT00010873	0.0698016962850939	undirected	Ngfrap1	Atp8b2
MMT00001077	MMT00019063	0.0711344325662373	undirected	Ngfrap1	Pcolce
MMT00001077	MMT00024851	0.0619660212038889	undirected	Ngfrap1	Pdgfrb
MMT00001077	MMT00031263	0.0549131230580002	undirected	Ngfrap1	Tuba1
MMT00001077	MMT00038915	0.0625568332906634	undirected	Ngfrap1	NA
MMT00001077	MMT00043537	0.0592175311901946	undirected	Ngfrap1	Col6a3
MMT00001077	MMT00059258	0.0526589561557806	undirected	Ngfrap1	Fscn1
MMT00001077	MMT00064433	0.059268628411516	undirected	Ngfrap1	Rcn3
