nodeName	altName	nodeAttr[nodesPresent, ]
MMT00030781	Chad	brown
MMT00030800	Ramp2	brown
MMT00030931	Apom	brown
MMT00031029	AU041783	brown
MMT00031086	Krt1-23	brown
MMT00031178	Mug1	red
MMT00031229	Avpr1a	brown
MMT00031263	Tuba1	brown
MMT00031585	Dsip1	brown
MMT00031586	Ces2	brown
MMT00031617	Tnc	brown
MMT00031650	Eml1	brown
MMT00031751	Rasip1	brown
MMT00031873	BC024139	red
MMT00032021	Nfe2l2	red
MMT00032069	Bmp8b	red
MMT00032175	Fa2h	brown
MMT00032264	Nek2	red
MMT00032542	Vwf	brown
MMT00032545	Tm4sf6	brown
MMT00032680	Tgfb3	brown
MMT00032840	Esam1	brown
MMT00032920	Mt1	brown
MMT00033001	4930579G24Rik	red
MMT00033105	Dcn	brown
MMT00033171	Serpina11	brown
MMT00033197	NA	red
MMT00033222	NA	brown
MMT00033268	Prss11	brown
MMT00033789	NA	red
MMT00034286	D6Ertd245e	brown
MMT00034355	NA	red
MMT00034383	F730047E07Rik	red
MMT00034407	NA	red
MMT00034467	E130307J04Rik	brown
MMT00034605	Hells	red
MMT00034709	BC011468	brown
MMT00034792	Cygb	brown
MMT00034839	Pcdhb17	brown
MMT00034916	Cyp2g1	brown
MMT00035158	5730469M10Rik	brown
MMT00035225	Gsta2	red
MMT00035243	Tgfb1i1	brown
MMT00035408	Mug2	red
MMT00035506	Tinag	red
MMT00035724	Tcf21	brown
MMT00035984	Cyp4b1	brown
MMT00036060	Clcn5	red
MMT00036340	D10Ucla2	brown
MMT00036739	D6Ertd32e	brown
MMT00036790	Racgap1	red
MMT00036954	Sept4	brown
MMT00037097	Timeless	red
MMT00037447	Trem2	brown
MMT00038227	E130318E12Rik	red
MMT00038270	Serpina10	brown
MMT00038471	Art3	brown
MMT00038915	NA	brown
MMT00038934	Ifitm2	brown
MMT00039035	6430401A05Rik	red
MMT00039183	Akap12	brown
MMT00039450	2010003K11Rik	red
MMT00039457	2600017H08Rik	red
MMT00039459	Fsp27	brown
MMT00039764	Timp3	brown
MMT00039882	F11	brown
MMT00040496	Cyp2c40	brown
MMT00040765	Igfals	brown
MMT00040888	Postn	brown
MMT00040982	D19Wsu12e	brown
MMT00041088	E330023O18	brown
MMT00041166	Heph	brown
MMT00041229	Mad2l1	red
MMT00041314	NA	brown
